OTU.ID	sa1	sa2	sa3	sa4	sa5	sa6	sa7	sa8	sa9	sa10	sa11	sa12	sa13	sa14	sa15	sa16	sa17	sa18	sa19	sa20	sa21	sa22	sa23	sa24	sa25	sa26	sa27	sa28	sa29	sa30	sa31	sa32	sa33	sa34	Taxonomy
OTU11	922	699	1042	879	739	418	966	821	103	217	469	770	848	1004	102	90	286	124	964	607	1176	1331	1596	796	545	262	176	205	1398	801	1361	843	421	1027	SS|0.9800|KF494339_S004077890;d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Rubrobacterales,f:Rubrobacteraceae,g:Rubrobacter
OTU12	882	137	364	473	67	99	232	228	98	312	237	1388	266	356	82	41	569	119	523	90	94	594	384	66	871	412	330	425	1052	916	642	579	231	238	GSL|100.0|HE654548_S003611307;d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Geodermatophilaceae,g:Geodermatophilus,s:Geodermatophilus_africanus
OTU13	796	535	671	729	718	490	475	403	50	159	238	598	229	380	116	74	367	148	293	132	205	326	324	109	856	519	665	777	679	519	542	611	260	448	SS|1.0000|U65647_S000438120;d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Rubrobacterales,f:Rubrobacteraceae,g:Rubrobacter
OTU14	231	467	162	186	410	273	635	391	739	298	422	434	88	131	333	242	96	314	358	607	408	295	271	234	440	414	471	568	355	341	220	187	469	444	GS|98.4|AF013554_S000336303;d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp4,g:Gp4;
OTU15	394	690	240	261	548	690	539	563	912	299	722	446	169	149	1325	972	237	933	276	556	615	339	627	698	646	777	407	536	412	454	308	305	634	550	GSL|98.8|AB055863_S000383774;d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingomonas
OTU16	999	404	517	596	464	400	175	126	16	30	114	254	294	410	52	27	187	80	164	49	131	298	341	92	560	303	65	78	466	350	659	706	78	170	SS|0.8800|KF494338_S004077889;d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Rubrobacterales,f:Rubrobacteraceae,g:Rubrobacter
OTU17	133	169	141	129	230	180	280	230	206	184	169	195	113	105	121	94	132	158	139	137	158	162	176	115	252	213	251	376	193	162	197	126	164	248	GS|97.6|EU878006_S001292750;d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Bradyrhizobiaceae,g:Salinarimonas,s:Salinarimonas_rosea;
OTU18	239	454	149	140	462	426	211	338	209	69	232	148	48	61	151	141	57	161	99	212	215	94	200	251	141	198	130	197	124	126	117	195	180	323	GS|100.0|EF457481_S000834906;d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp4,g:Gp4;
OTU19	204	159	256	176	62	55	176	157	43	31	150	171	424	434	99	93	52	37	250	162	135	90	282	162	136	60	38	43	203	113	592	178	92	158	GS|97.6|CP007536_S004069721;d:Archaea,p:"Thaumarchaeota",o:Nitrososphaerales,f:Nitrososphaeraceae,g:Nitrososphaera,s:Nitrososphaera_viennensis;
OTU20	53	112	40	31	101	76	323	277	276	87	270	137	17	25	49	38	25	75	94	276	206	108	85	61	112	139	221	274	209	123	35	61	366	308	US|0.9999|EU135017_S000933611;d:Bacteria,p:"Armatimonadetes"
OTU21	402	604	420	457	843	601	455	403	68	69	203	211	317	452	305	261	339	418	206	190	297	221	381	277	292	249	201	226	293	256	642	366	188	388	SS|0.9200|EF457480_S000834905;d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp16
OTU22	94	142	165	166	381	158	161	150	78	81	83	138	91	135	154	113	274	195	110	102	101	110	133	76	178	163	156	127	149	178	189	110	91	206	SS|1.0000|CP007536_S004069721;d:Archaea,p:"Thaumarchaeota",o:Nitrososphaerales,f:Nitrososphaeraceae,g:Nitrososphaera,s:Nitrososphaera_viennensis
OTU23	23	58	7	15	13	20	115	61	699	90	250	195	9	16	439	383	41	185	91	317	131	76	55	140	140	609	114	75	158	151	0	8	314	64	GSL|100.0|AM774587_S000901781;d:Bacteria,p:"Proteobacteria",c:Betaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,g:Massilia,s:Massilia_niabensis
OTU24	443	513	424	500	696	609	269	231	5	15	135	117	142	204	5	5	18	14	116	79	324	189	272	178	24	23	9	6	155	101	336	350	83	273	US|0.9378|JX848544_S003919390;d:Bacteria,p:"Chloroflexi",c:Chloroflexia
OTU26	95	73	38	32	48	34	103	132	23	34	78	226	33	76	90	57	146	111	119	68	78	152	109	43	200	160	21	50	210	185	118	61	107	130	SS|1.0000|AB175638_S000642034;d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales
OTU27	104	163	187	138	97	56	55	51	4	0	243	434	185	243	2	0	35	64	5	10	8	3	6	0	0	0	7	0	84	14	408	143	35	70	SS|1.0000|Y18791_S000003918;d:Bacteria,p:Cyanobacteria/Chloroplast,c:Cyanobacteria
OTU28	137	125	156	158	143	124	169	140	96	77	116	105	78	99	146	137	88	189	108	75	141	125	192	91	146	119	88	125	137	108	201	90	104	149	SS|1.0000|EF174497_S000776520;d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales
OTU29	150	555	78	78	658	491	317	382	198	92	210	107	46	68	417	288	36	257	97	232	386	91	225	593	136	150	125	232	107	106	76	149	310	464	GS|98.0|AF013522_S000336271;d:Bacteria,p:"Verrucomicrobia",c:Spartobacteria,g:Spartobacteria_genera_incertae_sedis;
OTU30	346	590	125	124	569	448	237	276	181	54	277	196	41	63	118	96	51	157	154	278	367	107	206	194	182	195	100	116	172	176	120	331	264	401	SS|1.0000|AF013554_S000336303;d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp4
OTU31	206	403	104	164	211	233	161	286	204	127	187	219	49	57	269	185	61	164	166	289	196	99	126	186	283	408	196	246	253	326	162	186	239	331	GS|100.0|KF245634_S003920711;d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp4,g:Aridibacter,s:Aridibacter_famidurans;
OTU32	13	68	11	9	29	10	69	86	221	122	87	58	2	4	29	19	16	22	58	95	208	77	51	61	37	42	56	62	48	114	7	16	113	105	US|0.9963|AB179866_S000496374;d:Bacteria,p:Firmicutes,c:Clostridia
OTU33	86	66	62	69	81	44	71	89	20	30	32	98	37	47	14	12	47	27	74	43	51	79	115	34	156	123	38	55	113	95	80	68	49	123	GS|98.4|X82558_S000005124;d:Bacteria,p:Nitrospirae,c:"Nitrospira",o:"Nitrospirales",f:"Nitrospiraceae",g:Nitrospira;
OTU34	38	180	17	31	107	105	146	152	174	65	114	92	12	11	30	25	15	275	59	157	89	34	28	36	394	205	119	171	115	78	25	40	215	166	SS|1.0000|AF013554_S000336303;d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp4,g:Gp4
OTU35	56	66	50	46	51	54	111	100	66	39	53	30	40	26	80	49	27	168	78	87	135	83	236	226	108	118	105	115	85	53	45	35	37	108	SS|1.0000|CP001854_S001872674;d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Solirubrobacterales
OTU36	151	176	282	255	289	167	132	132	203	193	300	243	83	186	8	16	13	12	115	121	78	39	153	88	166	130	416	600	163	175	196	110	212	196	GS|97.6|AB267478_S000721192;d:Bacteria,p:"Bacteroidetes",c:Sphingobacteriia,o:"Sphingobacteriales",f:Chitinophagaceae,g:Segetibacter,s:Segetibacter_koreensis;
OTU37	39	81	187	110	107	30	261	122	65	37	127	88	92	114	199	149	9	14	59	90	70	30	42	35	42	20	100	48	105	71	192	43	121	155	GS|98.0|AY289368_S000405838;d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp4,g:Gp4;
OTU38	99	82	122	161	106	93	117	113	58	55	95	83	98	116	424	231	438	359	121	98	82	116	138	106	200	110	110	128	154	111	165	99	76	123	GS|98.4|EF457359_S000834784;d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp16,g:Gp16;
OTU39	77	55	90	92	60	41	135	68	43	99	60	137	100	158	64	49	60	46	130	58	67	103	341	97	94	70	92	122	219	111	179	68	70	113	US|0.8949|AB072735_S000251887;d:Bacteria,p:"Gemmatimonadetes"
OTU40	109	31	138	139	36	31	70	89	101	280	124	441	49	82	104	42	276	102	176	44	46	166	155	58	398	309	278	354	323	383	128	61	127	69	GS|99.6|EU181225_S000966508;d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Geodermatophilaceae,g:Modestobacter,s:Modestobacter_marinus;
OTU41	104	121	41	28	27	50	23	44	0	0	113	951	11	17	0	0	0	0	15	16	7	7	0	0	0	0	7	7	24	9	7	94	51	22	SS|0.8600|AB045960_S000383381;d:Bacteria,p:Cyanobacteria/Chloroplast,c:Cyanobacteria,f:Family_XIII,g:GpXIII,s:Planktothricoides_raciborskii
OTU42	91	86	172	194	37	44	168	128	7	4	43	48	99	119	11	15	13	6	76	68	115	102	192	107	10	8	2	5	116	66	196	125	28	151	US|0.9943|AJ241003_S000020231;d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp17
OTU43	73	106	80	73	101	118	108	117	251	179	143	153	44	43	196	160	190	312	96	78	92	73	124	106	220	161	159	238	121	146	79	49	138	121	SS|0.8500|AB258386_S000701146;d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingomonas
OTU44	34	0	27	27	24	0	39	43	67	40	635	167	49	45	39	0	64	4499	126	297	52	189	85	16	67	82	60	27	588	204	48	30	174	55	GS|100.0|AF029364_S000427859;d:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,f:Planococcaceae,g:Planomicrobium,s:Planomicrobium_alkanoclasticum;
OTU45	101	75	89	51	49	33	297	280	274	535	299	655	50	89	168	146	575	340	481	192	170	307	159	53	671	590	313	431	508	552	132	72	343	336	GSL|98.8|AB098515_S001168611;d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Methylobacteriaceae,g:Microvirga
OTU46	75	125	89	104	131	132	157	178	47	17	128	30	55	59	238	125	23	170	66	85	174	69	184	211	141	161	70	124	113	92	78	75	72	178	SS|0.8700|AB517669_S002164967;d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Acidimicrobiales
OTU47	58	58	76	79	45	54	111	107	45	40	54	105	36	70	59	43	76	55	66	69	54	78	117	43	143	111	36	53	106	121	91	45	50	82	US|0.9927|U58523_S000437934;d:Bacteria,p:Firmicutes,c:Bacilli
OTU49	9	65	8	7	25	38	112	72	24	12	100	20	15	17	75	80	4	45	35	138	61	19	48	55	28	29	26	17	56	26	21	24	75	67	SS|0.9900|D85495_S000435872;d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales
OTU50	75	85	71	63	108	103	116	93	30	5	58	33	48	60	123	83	23	61	57	75	150	78	253	241	139	117	52	79	47	38	64	65	42	100	US|0.9096|KF459924_S004053537;d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Solirubrobacterales
OTU51	116	193	92	71	186	176	156	108	82	47	96	75	75	113	150	92	86	156	67	79	128	87	154	120	100	72	54	71	87	102	185	123	107	146	SS|0.9100|AM181745_S000711269;d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales
OTU52	63	59	57	52	32	25	39	69	77	96	54	107	23	38	36	14	126	61	79	36	26	67	45	21	93	114	49	74	128	90	65	69	63	61	GSL|100.0|DQ768124_S000722027;d:Bacteria,p:"Proteobacteria",c:Deltaproteobacteria,o:Myxococcales,f:Cystobacteraceae,g:Cystobacter,s:Cystobacter_violaceus
OTU53	192	166	53	66	86	102	47	5	0	0	5	3	86	75	2	0	0	3	0	0	0	0	2	0	0	0	0	0	0	4	124	280	0	9	SS|1.0000|Y18791_S000003918;d:Bacteria,p:Cyanobacteria/Chloroplast,c:Cyanobacteria
OTU54	61	96	35	37	61	62	77	72	100	61	125	123	26	24	287	239	122	231	51	59	58	55	64	72	242	264	77	91	131	134	58	46	92	80	GS|99.6|AY769083_S000444042;d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingomonas,s:Sphingomonas_kaistensis;
OTU55	13	46	4	7	47	13	127	51	186	50	139	32	2	23	103	104	12	33	31	115	62	14	29	46	62	59	139	122	48	30	17	20	77	64	GS|97.2|AY289372_S000405842;d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp4,g:Gp4;
OTU56	32	45	53	58	38	26	85	55	10	23	61	76	24	31	0	2	10	15	35	27	22	21	17	11	42	29	46	49	65	35	53	29	44	89	US|0.8751|AY605232_S000548368;d:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales
OTU57	130	93	35	38	62	64	43	50	30	16	42	55	61	49	46	23	41	58	26	29	36	32	40	49	110	116	26	21	73	86	116	78	44	58	US|0.9460|AJ844281_S000701187;d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodobacterales
OTU58	104	98	95	110	94	68	132	139	74	60	149	184	46	54	95	59	68	121	84	70	76	140	120	82	298	178	105	113	186	161	123	84	140	118	GSL|98.4|AB021492_S000382574;d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingomonas
OTU59	185	152	11	22	92	45	2	1	0	0	2	9	65	56	1	0	0	0	1	0	0	2	4	0	0	0	0	1	0	1	153	222	6	5	SS|0.9900|Y18791_S000003918;d:Bacteria,p:Cyanobacteria/Chloroplast,c:Cyanobacteria
OTU60	92	265	47	49	331	261	82	55	3	3	9	14	17	23	0	0	5	10	18	9	66	24	12	7	2	8	0	7	19	22	36	53	13	72	SS|0.9800|AF013554_S000336303;d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp4,g:Gp4
OTU62	90	119	108	113	119	77	176	134	35	23	110	78	61	82	89	80	22	27	90	90	167	97	45	24	52	37	31	41	101	74	106	88	73	213	SS|0.9400|KF494339_S004077890;d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Rubrobacterales,f:Rubrobacteraceae,g:Rubrobacter
OTU63	168	195	115	132	172	145	170	206	158	135	148	218	100	151	133	69	181	202	149	125	134	185	182	137	364	312	167	218	264	269	232	136	199	199	GS|98.0|EF174497_S000776520;d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Methylobacteriaceae,g:Methylobacterium,s:Methylobacterium_iners;
OTU64	27	19	50	42	17	14	46	34	76	95	92	114	25	30	21	22	17	10	75	31	17	41	59	39	214	155	186	236	107	149	50	25	79	36	SS|0.9000|AB072735_S000251887;d:Bacteria,p:"Gemmatimonadetes",c:Gemmatimonadetes,o:Gemmatimonadales,f:Gemmatimonadaceae,g:Gemmatimonas,s:Gemmatimonas_aurantiaca
OTU65	97	87	167	155	132	84	107	115	75	63	61	71	151	155	242	188	229	194	101	75	111	109	153	95	90	68	49	77	142	97	236	104	64	110	GS|99.2|Z95728_S000020180;d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp6,g:Gp6;
OTU66	13	30	11	7	32	50	48	36	38	21	31	35	14	15	121	126	10	36	23	26	24	18	14	59	30	35	14	12	30	31	25	13	44	39	GSL|97.2|AY769083_S000444042;d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingomonas
OTU67	209	174	26	60	61	87	0	0	0	0	0	0	24	50	0	0	0	0	0	0	2	0	0	2	2	0	0	0	0	0	125	304	0	0	SS|0.9800|Y18791_S000003918;d:Bacteria,p:Cyanobacteria/Chloroplast,c:Cyanobacteria
OTU68	58	37	28	41	26	15	48	52	130	139	80	142	21	23	211	149	601	313	95	106	89	144	110	117	158	165	117	91	105	133	62	36	117	66	GSL|99.6|Y18618_S000005441;d:Bacteria,p:"Proteobacteria",c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae
OTU69	80	16	39	29	90	94	28	17	0	0	97	189	98	57	0	1	3	0	2	1	1	2	1	1	5	0	0	1	22	5	121	39	20	10	SS|1.0000|Y18791_S000003918;d:Bacteria,p:Cyanobacteria/Chloroplast,c:Cyanobacteria
OTU70	42	141	4	15	60	28	16	34	98	58	25	19	5	29	43	27	6	142	50	76	29	25	26	13	52	114	78	143	30	85	9	45	81	78	SS|0.9700|AJ233938_S000539315;d:Bacteria,p:"Proteobacteria",c:Deltaproteobacteria,o:Myxococcales,f:Polyangiaceae
OTU71	5	4	3	4	6	7	16	21	33	21	98	87	8	4	6	5	4	9	20	21	1	6	22	21	204	154	49	54	120	70	13	2	75	16	GS|100.0|AY743259_S000595381;d:Bacteria,p:"Deinococcus-Thermus",c:Deinococci,o:Deinococcales,f:Deinococcaceae,g:Deinococcus,s:Deinococcus_navajonensis;
OTU72	110	91	89	109	120	158	24	15	0	2	10	14	43	75	0	1	9	4	16	5	15	28	48	21	4	4	4	0	20	13	113	103	16	39	US|0.9891|U58523_S000437934;d:Bacteria,p:Firmicutes,c:Bacilli
OTU73	125	123	191	166	55	48	66	57	5	3	13	19	137	171	13	4	4	2	94	46	106	122	168	60	8	7	4	4	59	33	300	113	10	63	US|0.9930|DQ208689_S000614201;d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp17
OTU74	112	126	34	73	153	81	75	71	3	1	21	27	34	59	25	9	16	49	20	15	48	32	72	32	29	33	1	1	42	52	74	89	16	82	US|1.0000|EF457487_S000834912;d:Bacteria
OTU75	88	101	63	42	70	79	44	70	142	64	151	113	53	53	49	48	18	49	57	69	87	28	48	38	143	189	80	116	57	88	108	41	105	89	SS|0.9000|AB267477_S000721191;d:Bacteria,p:"Bacteroidetes",c:Sphingobacteriia,o:"Sphingobacteriales",f:Chitinophagaceae,g:Flavisolibacter,s:Flavisolibacter_ginsengiterrae
OTU76	130	108	221	225	200	149	58	52	3	12	21	29	92	105	4	2	7	6	27	31	85	91	131	92	18	6	5	5	54	39	135	107	9	53	US|0.9891|EF457456_S000834881;d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp16
OTU77	132	76	66	100	49	51	83	102	154	143	168	227	79	84	87	56	69	81	99	61	63	82	139	136	352	291	167	184	202	193	190	91	121	102	GS|97.2|EU181225_S000966508;d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Geodermatophilaceae,g:Modestobacter,s:Modestobacter_marinus;
OTU78	109	104	39	35	65	78	14	4	0	0	2	4	62	96	2	0	2	0	0	3	0	0	0	0	0	0	1	0	0	3	105	174	12	4	SS|0.9900|Y18791_S000003918;d:Bacteria,p:Cyanobacteria/Chloroplast,c:Cyanobacteria
OTU79	2	7	6	0	3	3	20	31	38	27	92	61	3	2	0	2	0	4	36	53	26	10	7	2	155	205	172	201	46	41	6	10	57	44	GS|97.2|JN607159_S002957911;d:Bacteria,p:"Bacteroidetes",c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Nibrella,s:Nibrella_saemangeumensis;
OTU80	12	18	3	4	6	6	43	61	25	15	68	41	2	2	2	0	4	7	56	77	43	27	67	59	96	209	101	108	92	102	3	18	48	62	GS|97.6|GQ342559_S003611109;d:Bacteria,p:"Bacteroidetes",c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Spirosoma,s:Spirosoma_endophyticum;
OTU81	3	5	5	8	0	2	9	17	51	61	38	58	3	1	8	5	20	4	24	23	14	8	4	3	99	87	100	142	35	42	6	2	38	15	SS|0.9900|AY493922_S000263149;d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp3,g:Gp3
OTU82	10	14	8	2	4	5	47	51	55	51	88	106	3	8	60	52	23	69	17	38	27	5	13	14	118	227	34	68	71	120	7	4	78	72	GS|98.4|GQ421850_S001589379;d:Bacteria,p:"Bacteroidetes",c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Adhaeribacter,s:Adhaeribacter_aerophilus;
OTU83	90	49	50	37	31	19	62	101	119	97	78	171	25	22	64	84	75	81	62	61	55	49	40	28	161	143	96	151	69	106	60	69	110	107	GS|98.4|EF457467_S000834892;d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp3,g:Gp3;
OTU84	188	175	11	40	101	63	0	0	1	0	0	2	35	28	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	133	8	0	SS|0.9800|Y18791_S000003918;d:Bacteria,p:Cyanobacteria/Chloroplast,c:Cyanobacteria
OTU85	28	98	49	22	50	40	56	103	97	69	72	47	21	15	192	177	137	310	43	80	162	105	37	28	84	67	89	107	87	55	24	18	71	118	SS|0.9700|AY289394_S000405864;d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp7,g:Gp7
OTU86	56	19	76	54	39	8	58	30	9	10	38	60	56	74	3	5	5	5	31	14	27	30	17	4	11	8	2	6	67	33	96	39	25	48	SS|0.8800|X82558_S000005124;d:Bacteria,p:Nitrospirae,c:"Nitrospira",o:"Nitrospirales",f:"Nitrospiraceae",g:Nitrospira
OTU87	67	121	110	112	179	148	128	103	73	42	96	55	84	89	140	99	64	149	68	89	110	65	97	74	34	44	37	56	43	42	145	63	79	131	SS|0.9800|AJ458462_S000130885;d:Bacteria,p:"Actinobacteria"
OTU88	61	135	103	155	94	120	0	1	0	1	1	0	31	29	0	0	0	0	3	0	1	1	1	0	0	2	0	1	2	1	68	115	0	2	SS|0.9800|AF013027_S000387113;d:Bacteria,p:Cyanobacteria/Chloroplast,c:Cyanobacteria
OTU89	15	17	23	23	20	14	37	38	77	71	34	51	4	12	79	51	75	100	37	35	21	20	31	16	106	105	85	107	32	57	17	13	50	46	GS|97.9|EF457480_S000834905;d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp16,g:Gp16;
OTU90	53	41	91	63	82	49	54	42	7	14	21	82	63	81	6	11	58	13	41	11	32	65	55	20	14	16	7	11	83	65	147	63	22	58	SS|0.9900|GU256437_S001873714;d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales
OTU91	39	32	18	12	27	47	75	76	55	18	109	38	19	18	63	41	14	57	24	50	62	36	53	78	79	79	42	62	40	36	30	31	77	87	SS|0.8700|KF459924_S004053537;d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Solirubrobacterales
OTU92	40	74	29	23	58	44	60	57	200	84	97	137	15	17	53	57	12	85	67	110	107	30	28	52	113	123	181	183	66	95	37	29	176	92	GSL|97.6|AB267477_S000721191;d:Bacteria,p:"Bacteroidetes",c:Sphingobacteriia,o:"Sphingobacteriales",f:Chitinophagaceae,g:Flavisolibacter,s:Flavisolibacter_ginsengiterrae
OTU93	185	180	94	87	168	148	63	76	42	28	50	99	90	118	25	24	59	46	37	28	42	86	81	53	56	74	19	34	105	101	225	144	65	82	SS|0.9400|KF056991_S004255588;d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales
OTU94	18	14	5	9	10	9	30	37	31	28	34	40	9	9	0	2	17	19	30	33	21	15	13	1	64	74	46	48	37	39	15	5	39	49	US|0.9727|JQ345500_S003290740;d:Bacteria,p:"Chloroflexi",c:Thermomicrobia
OTU95	64	40	109	124	86	71	101	74	10	24	38	76	33	67	30	23	27	16	53	23	42	69	46	30	65	19	17	12	53	47	102	57	38	125	US|0.9927|EF457487_S000834912;d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp16
OTU96	72	50	99	94	83	60	56	44	4	1	15	12	27	65	3	3	16	7	25	20	31	32	99	50	28	30	10	10	39	21	58	78	13	43	US|0.9925|EF457456_S000834881;d:Bacteria,p:Firmicutes,c:Bacilli
OTU97	31	11	20	16	5	8	51	29	15	41	39	84	18	21	5	1	17	3	92	30	39	51	86	35	41	19	17	23	152	83	23	28	23	35	SS|0.9900|AM778124_S000941857;d:Bacteria,p:"Actinobacteria",c:Actinobacteria
OTU98	123	148	21	22	49	32	63	77	17	19	50	85	42	49	59	27	124	187	46	52	51	54	77	82	91	127	21	26	84	97	101	101	68	69	GS|97.2|EU338486_S000980847;d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodobacterales,f:Rhodobacteraceae,g:Rubellimicrobium,s:Rubellimicrobium_aerolatum;
