OTU.ID	sa1	sa2	sa3	sa4	sa5	sa6	sa7	sa8	sa9	sa10	sa11	sa12	sa13	sa14	sa15	sa16	sa17	sa18	sa19	sa20	sa21	sa22	sa23	sa24	sa25	sa26	sa27	sa28	sa29	sa30	sa31	sa32	sa33	sa34	Taxonomy
OTU1	1788	2176	902	1103	616	1064	254	303	16	12	189	1319	1289	1619	0	0	16	33	1212	153	201	499	11	0	85	23	228	258	1209	643	1851	1658	117	337	SS|1.0000|X70769_S000529355;d:Bacteria,p:Cyanobacteria/Chloroplast,c:Cyanobacteria
OTU2	1628	1713	1974	1581	1174	831	1395	1127	495	470	778	959	1160	1004	278	288	210	116	1619	1241	2170	1564	2122	1486	597	282	399	470	1439	824	1474	1357	531	1460	SS|1.0000|CP007536_S004069721;d:Archaea,p:"Thaumarchaeota",o:Nitrososphaerales,f:Nitrososphaeraceae,g:Nitrososphaera,s:Nitrososphaera_viennensis
OTU3	714	597	1088	1205	882	433	771	517	166	324	363	736	483	629	79	100	257	96	466	269	405	517	445	204	243	175	194	208	568	352	989	528	200	627	SS|1.0000|CP007536_S004069721;d:Archaea,p:"Thaumarchaeota",o:Nitrososphaerales,f:Nitrososphaeraceae,g:Nitrososphaera,s:Nitrososphaera_viennensis
OTU4	742	918	686	853	1495	849	907	898	1140	1339	630	1340	220	496	303	188	1343	948	927	620	658	667	1012	436	2180	1891	2389	3343	1257	1861	609	736	766	1160	SS|1.0000|CP007536_S004069721;d:Archaea,p:"Thaumarchaeota",o:Nitrososphaerales,f:Nitrososphaeraceae,g:Nitrososphaera,s:Nitrososphaera_viennensis
OTU5	1104	658	995	1088	839	504	955	817	185	511	512	1242	632	841	198	172	704	191	717	261	613	966	780	311	1312	724	647	834	1443	1004	1272	1031	460	926	SS|0.9400|KF494339_S004077890;d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Rubrobacterales,f:Rubrobacteraceae,g:Rubrobacter
OTU6	917	731	915	914	974	602	998	745	286	441	516	945	587	642	356	312	332	297	540	302	501	627	593	259	1341	707	815	974	1065	726	1175	635	420	954	SS|0.8000|U65647_S000438120;d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Rubrobacterales,f:Rubrobacteraceae,g:Rubrobacter,s:Rubrobacter_radiotolerans
OTU7	1184	973	550	671	604	495	841	934	828	1292	738	2179	362	545	559	393	1810	1271	1031	547	662	1298	829	437	1997	1911	849	1291	1650	2025	1094	905	1122	1119	GSL|100.0|EU727176_S001153406;d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Methylobacteriaceae,g:Microvirga,s:Microvirga_aerilata
OTU8	594	659	191	235	406	337	505	539	568	567	526	844	213	282	274	206	472	567	434	367	423	492	434	283	1129	1127	621	942	760	834	568	440	586	689	SS|1.0000|EF174497_S000776520;d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales
OTU9	282	242	93	115	131	96	214	271	259	337	272	520	114	119	297	240	844	788	317	225	238	329	385	311	701	936	364	478	456	705	260	252	317	288	GS|97.6|EU338486_S000980847;d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodobacterales,f:Rhodobacteraceae,g:Rubellimicrobium,s:Rubellimicrobium_aerolatum;
OTU10	173	205	144	150	107	73	189	243	219	336	245	289	103	197	290	151	727	1072	225	409	200	257	165	228	518	1001	433	141	668	415	250	177	285	272	GSL|100.0|X83408_S000014927;d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Micrococcaceae,g:Arthrobacter,s:Arthrobacter_psychrochitiniphilus
