#OTUID	taxonomy	USEARCH	SINTAX	UTAX
OTU1	SS|1.0000|X70769_S000529355;d:Bacteria,p:Cyanobacteria/Chloroplast,c:Cyanobacteria	d:Bacteria,p:Cyanobacteria/Chloroplast,c:Cyanobacteria,f:Family_XIII,g:GpXIII;	d:Bacteria,p:Cyanobacteria/Chloroplast,c:Cyanobacteria	d:Bacteria,p:Cyanobacteria/Chloroplast
OTU2	SS|1.0000|CP007536_S004069721;d:Archaea,p:"Thaumarchaeota",o:Nitrososphaerales,f:Nitrososphaeraceae,g:Nitrososphaera,s:Nitrososphaera_viennensis	d:Archaea,p:"Thaumarchaeota",o:Nitrososphaerales,f:Nitrososphaeraceae,g:Nitrososphaera,s:Nitrososphaera_viennensis;	d:Archaea,p:"Thaumarchaeota",o:Nitrososphaerales,f:Nitrososphaeraceae,g:Nitrososphaera,s:Nitrososphaera_viennensis	d:Archaea,p:"Thaumarchaeota",o:Nitrososphaerales,f:Nitrososphaeraceae,g:Nitrososphaera
OTU3	SS|1.0000|CP007536_S004069721;d:Archaea,p:"Thaumarchaeota",o:Nitrososphaerales,f:Nitrososphaeraceae,g:Nitrososphaera,s:Nitrososphaera_viennensis	d:Archaea,p:"Thaumarchaeota",o:Nitrososphaerales,f:Nitrososphaeraceae,g:Nitrososphaera,s:Nitrososphaera_viennensis;	d:Archaea,p:"Thaumarchaeota",o:Nitrososphaerales,f:Nitrososphaeraceae,g:Nitrososphaera,s:Nitrososphaera_viennensis	d:Archaea,p:"Thaumarchaeota",o:Nitrososphaerales,f:Nitrososphaeraceae,g:Nitrososphaera
OTU4	SS|1.0000|CP007536_S004069721;d:Archaea,p:"Thaumarchaeota",o:Nitrososphaerales,f:Nitrososphaeraceae,g:Nitrososphaera,s:Nitrososphaera_viennensis	d:Archaea,p:"Thaumarchaeota",o:Nitrososphaerales,f:Nitrososphaeraceae,g:Nitrososphaera,s:Nitrososphaera_viennensis;	d:Archaea,p:"Thaumarchaeota",o:Nitrososphaerales,f:Nitrososphaeraceae,g:Nitrososphaera,s:Nitrososphaera_viennensis	d:Archaea,p:"Thaumarchaeota",o:Nitrososphaerales,f:Nitrososphaeraceae,g:Nitrososphaera
OTU5	SS|0.9400|KF494339_S004077890;d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Rubrobacterales,f:Rubrobacteraceae,g:Rubrobacter	d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Rubrobacterales,f:Rubrobacteraceae,g:Rubrobacter,s:Rubrobacter_naiadicus;	d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Rubrobacterales,f:Rubrobacteraceae,g:Rubrobacter	d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Rubrobacterales,f:Rubrobacteraceae,g:Rubrobacter
OTU6	SS|0.8000|U65647_S000438120;d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Rubrobacterales,f:Rubrobacteraceae,g:Rubrobacter,s:Rubrobacter_radiotolerans	d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Rubrobacterales,f:Rubrobacteraceae,g:Rubrobacter,s:Rubrobacter_radiotolerans;	d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Rubrobacterales,f:Rubrobacteraceae,g:Rubrobacter,s:Rubrobacter_radiotolerans	d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Rubrobacterales
OTU7	GSL|100.0|EU727176_S001153406;d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Methylobacteriaceae,g:Microvirga,s:Microvirga_aerilata	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Methylobacteriaceae,g:Microvirga	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Methylobacteriaceae,g:Microvirga,s:Microvirga_aerilata	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Methylobacteriaceae,g:Microvirga
OTU8	SS|1.0000|EF174497_S000776520;d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Methylobacteriaceae,g:Methylobacterium,s:Methylobacterium_iners;	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales
OTU9	GS|97.6|EU338486_S000980847;d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodobacterales,f:Rhodobacteraceae,g:Rubellimicrobium,s:Rubellimicrobium_aerolatum;	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodobacterales,f:Rhodobacteraceae,g:Rubellimicrobium,s:Rubellimicrobium_aerolatum;	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodobacterales,f:Rhodobacteraceae	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodobacterales,f:Rhodobacteraceae
OTU10	GSL|100.0|X83408_S000014927;d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Micrococcaceae,g:Arthrobacter,s:Arthrobacter_psychrochitiniphilus	d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Micrococcaceae,g:Arthrobacter	d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Micrococcaceae,g:Arthrobacter,s:Arthrobacter_psychrochitiniphilus	d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Micrococcaceae,g:Arthrobacter
