	reads per sample	original OTUs	final OTUs
1	71973	3943	3932
2	76079	4211	4195
3	62488	3615	3608
4	62454	3518	3514
5	69900	3734	3712
6	55288	3603	3599
7	64039	4109	4107
8	56799	4014	4008
9	51410	3721	3716
10	41343	3281	3275
11	55808	4112	4108
12	76091	4021	4011
13	40797	3299	3294
14	49480	3456	3447
15	54865	3654	3644
16	42320	3438	3428
17	55911	3437	3431
18	73085	3791	3775
19	53003	4049	4045
20	46648	4225	4219
21	58587	4196	4189
22	53164	3909	3907
23	63080	3979	3971
24	47362	3721	3710
25	73676	3845	3825
26	68926	3686	3673
27	50618	3334	3327
28	62476	3508	3498
29	71802	4132	4119
30	64813	4089	4087
31	76659	3874	3859
32	59102	3784	3779
33	51042	3977	3971
34	66669	4095	4081
