#OTUID	taxonomy	USEARCH	SINTAX	UTAX
OTU1	d__Bacteria;p__Cyanobacteria/Chloroplast;c__Cyanobacteria
OTU2	d__Archaea;p__"Thaumarchaeota";o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera;s__Nitrososphaera_viennensis
OTU3	d__Archaea;p__"Thaumarchaeota";o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera;s__Nitrososphaera_viennensis
OTU4	d__Archaea;p__"Thaumarchaeota";o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera;s__Nitrososphaera_viennensis
OTU5	d__Bacteria;p__"Actinobacteria";c__Actinobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter
OTU6	d__Bacteria;p__"Actinobacteria";c__Actinobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__Rubrobacter_radiotolerans
OTU7	d__Bacteria;p__"Proteobacteria";c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__Microvirga;s__Microvirga_aerilata
OTU8	d__Bacteria;p__"Proteobacteria";c__Alphaproteobacteria;o__Rhizobiales
OTU9	d__Bacteria;p__"Proteobacteria";c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rubellimicrobium;s__Rubellimicrobium_aerolatum;
OTU10	d__Bacteria;p__"Actinobacteria";c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter;s__Arthrobacter_psychrochitiniphilus
OTU11	d__Bacteria;p__"Actinobacteria";c__Actinobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter
OTU12	d__Bacteria;p__"Actinobacteria";c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Geodermatophilus;s__Geodermatophilus_africanus
OTU13	d__Bacteria;p__"Actinobacteria";c__Actinobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter
OTU14	d__Bacteria;p__"Acidobacteria";c__Acidobacteria_Gp4;g__Gp4;
OTU15	d__Bacteria;p__"Proteobacteria";c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
OTU16	d__Bacteria;p__"Actinobacteria";c__Actinobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter
OTU17	d__Bacteria;p__"Proteobacteria";c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Salinarimonas;s__Salinarimonas_rosea;
OTU18	d__Bacteria;p__"Acidobacteria";c__Acidobacteria_Gp4;g__Gp4;
OTU19	d__Archaea;p__"Thaumarchaeota";o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera;s__Nitrososphaera_viennensis;
OTU20	d__Bacteria;p__"Armatimonadetes"
OTU21	d__Bacteria;p__"Acidobacteria";c__Acidobacteria_Gp16
OTU22	d__Archaea;p__"Thaumarchaeota";o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera;s__Nitrososphaera_viennensis
OTU23	d__Bacteria;p__"Proteobacteria";c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia;s__Massilia_niabensis
OTU24	d__Bacteria;p__"Chloroflexi";c__Chloroflexia
OTU26	d__Bacteria;p__"Proteobacteria";c__Alphaproteobacteria;o__Rhizobiales
OTU27	d__Bacteria;p__Cyanobacteria/Chloroplast;c__Cyanobacteria
OTU28	d__Bacteria;p__"Proteobacteria";c__Alphaproteobacteria;o__Rhizobiales
OTU29	d__Bacteria;p__"Verrucomicrobia";c__Spartobacteria;g__Spartobacteria_genera_incertae_sedis;
OTU30	d__Bacteria;p__"Acidobacteria";c__Acidobacteria_Gp4
OTU31	d__Bacteria;p__"Acidobacteria";c__Acidobacteria_Gp4;g__Aridibacter;s__Aridibacter_famidurans;
OTU32	d__Bacteria;p__Firmicutes;c__Clostridia
OTU33	d__Bacteria;p__Nitrospirae;c__"Nitrospira";o__"Nitrospirales";f__"Nitrospiraceae";g__Nitrospira;
OTU34	d__Bacteria;p__"Acidobacteria";c__Acidobacteria_Gp4;g__Gp4
OTU35	d__Bacteria;p__"Actinobacteria";c__Actinobacteria;o__Solirubrobacterales
OTU36	d__Bacteria;p__"Bacteroidetes";c__Sphingobacteriia;o__"Sphingobacteriales";f__Chitinophagaceae;g__Segetibacter;s__Segetibacter_koreensis;
OTU37	d__Bacteria;p__"Acidobacteria";c__Acidobacteria_Gp4;g__Gp4;
OTU38	d__Bacteria;p__"Acidobacteria";c__Acidobacteria_Gp16;g__Gp16;
OTU39	d__Bacteria;p__"Gemmatimonadetes"
OTU40	d__Bacteria;p__"Actinobacteria";c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Modestobacter;s__Modestobacter_marinus;
OTU41	d__Bacteria;p__Cyanobacteria/Chloroplast;c__Cyanobacteria;f__Family_XIII;g__GpXIII;s__Planktothricoides_raciborskii
OTU42	d__Bacteria;p__"Acidobacteria";c__Acidobacteria_Gp17
OTU43	d__Bacteria;p__"Proteobacteria";c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
OTU44	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Planomicrobium;s__Planomicrobium_alkanoclasticum;
OTU45	d__Bacteria;p__"Proteobacteria";c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__Microvirga
OTU46	d__Bacteria;p__"Actinobacteria";c__Actinobacteria;o__Acidimicrobiales
OTU47	d__Bacteria;p__Firmicutes;c__Bacilli
OTU49	d__Bacteria;p__"Actinobacteria";c__Actinobacteria;o__Actinomycetales
OTU50	d__Bacteria;p__"Actinobacteria";c__Actinobacteria;o__Solirubrobacterales
OTU51	d__Bacteria;p__"Proteobacteria";c__Alphaproteobacteria;o__Rhizobiales
OTU52	d__Bacteria;p__"Proteobacteria";c__Deltaproteobacteria;o__Myxococcales;f__Cystobacteraceae;g__Cystobacter;s__Cystobacter_violaceus
OTU53	d__Bacteria;p__Cyanobacteria/Chloroplast;c__Cyanobacteria
OTU54	d__Bacteria;p__"Proteobacteria";c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas_kaistensis;
OTU55	d__Bacteria;p__"Acidobacteria";c__Acidobacteria_Gp4;g__Gp4;
OTU56	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales
OTU57	d__Bacteria;p__"Proteobacteria";c__Alphaproteobacteria;o__Rhodobacterales
OTU58	d__Bacteria;p__"Proteobacteria";c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
OTU59	d__Bacteria;p__Cyanobacteria/Chloroplast;c__Cyanobacteria
OTU60	d__Bacteria;p__"Acidobacteria";c__Acidobacteria_Gp4;g__Gp4
OTU62	d__Bacteria;p__"Actinobacteria";c__Actinobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter
OTU63	d__Bacteria;p__"Proteobacteria";c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__Methylobacterium;s__Methylobacterium_iners;
OTU64	d__Bacteria;p__"Gemmatimonadetes";c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__Gemmatimonas_aurantiaca
OTU65	d__Bacteria;p__"Acidobacteria";c__Acidobacteria_Gp6;g__Gp6;
OTU66	d__Bacteria;p__"Proteobacteria";c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
OTU67	d__Bacteria;p__Cyanobacteria/Chloroplast;c__Cyanobacteria
OTU68	d__Bacteria;p__"Proteobacteria";c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae
OTU69	d__Bacteria;p__Cyanobacteria/Chloroplast;c__Cyanobacteria
OTU70	d__Bacteria;p__"Proteobacteria";c__Deltaproteobacteria;o__Myxococcales;f__Polyangiaceae
OTU71	d__Bacteria;p__"Deinococcus-Thermus";c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__Deinococcus_navajonensis;
OTU72	d__Bacteria;p__Firmicutes;c__Bacilli
OTU73	d__Bacteria;p__"Acidobacteria";c__Acidobacteria_Gp17
OTU74	d__Bacteria
OTU75	d__Bacteria;p__"Bacteroidetes";c__Sphingobacteriia;o__"Sphingobacteriales";f__Chitinophagaceae;g__Flavisolibacter;s__Flavisolibacter_ginsengiterrae
OTU76	d__Bacteria;p__"Acidobacteria";c__Acidobacteria_Gp16
OTU77	d__Bacteria;p__"Actinobacteria";c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Modestobacter;s__Modestobacter_marinus;
OTU78	d__Bacteria;p__Cyanobacteria/Chloroplast;c__Cyanobacteria
OTU79	d__Bacteria;p__"Bacteroidetes";c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Nibrella;s__Nibrella_saemangeumensis;
OTU80	d__Bacteria;p__"Bacteroidetes";c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Spirosoma;s__Spirosoma_endophyticum;
OTU81	d__Bacteria;p__"Acidobacteria";c__Acidobacteria_Gp3;g__Gp3
OTU82	d__Bacteria;p__"Bacteroidetes";c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Adhaeribacter;s__Adhaeribacter_aerophilus;
OTU83	d__Bacteria;p__"Acidobacteria";c__Acidobacteria_Gp3;g__Gp3;
OTU84	d__Bacteria;p__Cyanobacteria/Chloroplast;c__Cyanobacteria
OTU85	d__Bacteria;p__"Acidobacteria";c__Acidobacteria_Gp7;g__Gp7
OTU86	d__Bacteria;p__Nitrospirae;c__"Nitrospira";o__"Nitrospirales";f__"Nitrospiraceae";g__Nitrospira
OTU87	d__Bacteria;p__"Actinobacteria"
OTU88	d__Bacteria;p__Cyanobacteria/Chloroplast;c__Cyanobacteria
OTU89	d__Bacteria;p__"Acidobacteria";c__Acidobacteria_Gp16;g__Gp16;
OTU90	d__Bacteria;p__"Proteobacteria";c__Alphaproteobacteria;o__Rhodospirillales
OTU91	d__Bacteria;p__"Actinobacteria";c__Actinobacteria;o__Solirubrobacterales
OTU92	d__Bacteria;p__"Bacteroidetes";c__Sphingobacteriia;o__"Sphingobacteriales";f__Chitinophagaceae;g__Flavisolibacter;s__Flavisolibacter_ginsengiterrae
OTU93	d__Bacteria;p__"Proteobacteria";c__Alphaproteobacteria;o__Rhizobiales
OTU94	d__Bacteria;p__"Chloroflexi";c__Thermomicrobia
OTU95	d__Bacteria;p__"Acidobacteria";c__Acidobacteria_Gp16
OTU96	d__Bacteria;p__Firmicutes;c__Bacilli
OTU97	d__Bacteria;p__"Actinobacteria";c__Actinobacteria
OTU98	d__Bacteria;p__"Proteobacteria";c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rubellimicrobium;s__Rubellimicrobium_aerolatum;
OTU99	d__Bacteria;p__Cyanobacteria/Chloroplast;c__Cyanobacteria
OTU100	d__Bacteria;p__"Proteobacteria";c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
OTU101	d__Bacteria;p__"Chloroflexi";c__Chloroflexia
OTU102	d__Bacteria;p__"Proteobacteria";c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Skermanella;s__Skermanella_stibiiresistens;
OTU103	d__Bacteria;p__"Acidobacteria";c__Acidobacteria_Gp6;g__Gp6;
OTU104	d__Bacteria;p__"Gemmatimonadetes";c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__Gemmatimonas_aurantiaca
OTU106	d__Bacteria;p__"Bacteroidetes";c__Sphingobacteriia;o__"Sphingobacteriales";f__Chitinophagaceae
OTU107	d__Bacteria;p__"Bacteroidetes";c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Adhaeribacter;s__Adhaeribacter_aerolatus;
OTU108	d__Bacteria;p__"Bacteroidetes";c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Adhaeribacter
OTU109	d__Bacteria;p__"Bacteroidetes";c__Sphingobacteriia;o__"Sphingobacteriales";f__Chitinophagaceae
OTU110	d__Bacteria;p__"Gemmatimonadetes";c__Gemmatimonadetes
OTU111	d__Bacteria;p__"Proteobacteria";c__Gammaproteobacteria;o__Chromatiales
OTU112	d__Bacteria;p__"Chloroflexi";c__Thermomicrobia
OTU113	d__Bacteria;p__"Gemmatimonadetes";c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__Gemmatimonas_aurantiaca
OTU114	d__Bacteria;p__"Actinobacteria";c__Actinobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter
OTU115	d__Bacteria;p__Cyanobacteria/Chloroplast;c__Cyanobacteria
OTU116	d__Bacteria;p__"Chloroflexi";c__Chloroflexia
OTU117	d__Bacteria;p__"Bacteroidetes";c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Fibrella;s__Fibrella_aestuarina
OTU118	d__Bacteria;p__"Bacteroidetes";c__Sphingobacteriia;o__"Sphingobacteriales";f__Chitinophagaceae
OTU119	d__Bacteria;p__"Proteobacteria";c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae
OTU120	d__Bacteria;p__"Acidobacteria";c__Acidobacteria_Gp16
OTU121	d__Bacteria;p__"Chloroflexi";c__Thermomicrobia
OTU122	d__Bacteria;p__Cyanobacteria/Chloroplast;c__Cyanobacteria
OTU123	d__Bacteria;p__"Bacteroidetes";c__Sphingobacteriia;o__"Sphingobacteriales";f__Chitinophagaceae;g__Segetibacter;s__Segetibacter_aerophilus;
OTU124	d__Bacteria;p__"Actinobacteria";c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas
OTU125	d__Bacteria;p__"Actinobacteria"
OTU126	d__Bacteria;p__"Proteobacteria";c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas_ginsengisoli;
OTU127	d__Bacteria;p__Poribacteria
OTU128	d__Bacteria;p__"Gemmatimonadetes";c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__Gemmatimonas_aurantiaca
OTU129	d__Bacteria;p__"Chloroflexi";c__Chloroflexia
OTU130	d__Bacteria;p__"Armatimonadetes";c__Armatimonadia;o__Armatimonadales;f__Armatimonadaceae;g__Armatimonas/Armatimonadetes_gp1
OTU131	d__Bacteria;p__"Proteobacteria";c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rubellimicrobium;s__Rubellimicrobium_roseum;
OTU132	d__Bacteria;p__"Acidobacteria";c__Acidobacteria_Gp4;g__Gp4
OTU133	d__Bacteria;p__"Proteobacteria";c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae
OTU134	d__Bacteria;p__"Actinobacteria";c__Actinobacteria
OTU135	d__Bacteria;p__"Chloroflexi";c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae
OTU136	d__Bacteria;p__"Actinobacteria";c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Kocuria
OTU137	d__Bacteria;p__"Chloroflexi";c__"Dehalococcoidetes"
OTU138	d__Bacteria;p__"Proteobacteria";c__Alphaproteobacteria;o__Alphaproteobacteria_incertae_sedis
OTU139	d__Archaea;p__"Thaumarchaeota";o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera;s__Nitrososphaera_viennensis;
OTU140	d__Bacteria;p__Cyanobacteria/Chloroplast;c__Cyanobacteria
OTU141	d__Bacteria;p__"Actinobacteria";c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae
OTU142	d__Bacteria;p__Firmicutes;c__Bacilli
OTU143	d__Bacteria;p__"Bacteroidetes";c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Adhaeribacter
OTU144	d__Bacteria;p__"Proteobacteria";c__Gammaproteobacteria;o__Thiotrichales
OTU145	d__Bacteria;p__"Actinobacteria";c__Actinobacteria;o__Solirubrobacterales
OTU146	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Caryophanon;s__Caryophanon_latum;
OTU147	d__Bacteria;p__"Armatimonadetes"
OTU148	d__Bacteria;p__"Actinobacteria";c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__Streptomyces
OTU149	d__Bacteria;p__"Proteobacteria";c__Alphaproteobacteria;o__Alphaproteobacteria_incertae_sedis;g__Geminicoccus
OTU150	d__Archaea;p__"Thaumarchaeota";o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera;s__Nitrososphaera_viennensis
OTU151	d__Bacteria;p__"Proteobacteria";c__Betaproteobacteria;o__Rhodocyclales
OTU152	d__Bacteria;p__Nitrospirae;c__"Nitrospira";o__"Nitrospirales";f__"Nitrospiraceae";g__Nitrospira
OTU153	d__Bacteria;p__"Bacteroidetes";c__Sphingobacteriia;o__"Sphingobacteriales";f__Chitinophagaceae;g__Flavisolibacter;s__Flavisolibacter_ginsengiterrae
OTU154	d__Bacteria;p__"Bacteroidetes";c__Sphingobacteriia;o__"Sphingobacteriales";f__Chitinophagaceae;g__Segetibacter;s__Segetibacter_koreensis
OTU155	d__Bacteria;p__"Actinobacteria";c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae;g__Pseudonocardia;s__Pseudonocardia_acaciae;
OTU156	d__Bacteria
OTU157	d__Bacteria;p__"Chloroflexi";c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae
OTU158	d__Bacteria;p__"Bacteroidetes";c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Adhaeribacter;s__Adhaeribacter_aerophilus;
OTU159	d__Bacteria;p__"Actinobacteria";c__Actinobacteria
OTU160	d__Bacteria;p__"Acidobacteria";c__Acidobacteria_Gp16
OTU161	d__Bacteria;p__"Bacteroidetes";c__Sphingobacteriia;o__"Sphingobacteriales";f__Chitinophagaceae
OTU162	d__Bacteria
OTU163	d__Bacteria;p__Firmicutes;c__Bacilli
OTU164	d__Bacteria;p__"Proteobacteria";c__Betaproteobacteria
OTU165	d__Bacteria;p__"Armatimonadetes"
OTU166	d__Bacteria;p__"Proteobacteria";c__Alphaproteobacteria;o__Rhizobiales
OTU167	d__Bacteria;p__"Proteobacteria";c__Deltaproteobacteria
OTU168	d__Bacteria;p__"Acidobacteria";c__Acidobacteria_Gp16
OTU169	d__Bacteria;p__"Proteobacteria";c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae
OTU170	d__Bacteria;p__"Acidobacteria";c__Acidobacteria_Gp6;g__Gp6
OTU171	d__Bacteria;p__"Armatimonadetes"
OTU172	d__Bacteria;p__"Proteobacteria";c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
OTU173	d__Bacteria;p__"Chloroflexi"
OTU174	d__Bacteria;p__"Planctomycetes";c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae
OTU175	d__Bacteria;p__"Acidobacteria";c__Acidobacteria_Gp16
OTU176	d__Bacteria;p__"Actinobacteria";c__Actinobacteria;o__Solirubrobacterales
OTU177	d__Bacteria;p__Nitrospirae
OTU178	d__Bacteria;p__"Acidobacteria"
OTU179	d__Bacteria;p__"Gemmatimonadetes";c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__Gemmatimonas_aurantiaca
OTU180	d__Bacteria;p__"Gemmatimonadetes";c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__Gemmatimonas_aurantiaca
OTU181	d__Bacteria;p__"Bacteroidetes";c__Sphingobacteriia;o__"Sphingobacteriales";f__Chitinophagaceae
OTU182	d__Bacteria;p__"Chloroflexi";c__Chloroflexia;o__"Chloroflexales"
OTU183	d__Bacteria;p__"Acidobacteria";c__Acidobacteria_Gp6;g__Gp6
OTU184	d__Bacteria;p__"Acidobacteria";c__Acidobacteria_Gp10;g__Gp10;
OTU185	d__Bacteria;p__"Armatimonadetes"
OTU186	d__Bacteria;p__"Actinobacteria"
OTU187	d__Bacteria;p__"Bacteroidetes";c__Sphingobacteriia;o__"Sphingobacteriales";f__Chitinophagaceae
OTU188	d__Bacteria;p__"Proteobacteria";c__Betaproteobacteria;o__Nitrosomonadales
OTU189	d__Bacteria;p__"Chloroflexi";c__Thermomicrobia
OTU190	d__Bacteria;p__"Actinobacteria";c__Actinobacteria;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Solirubrobacter
OTU191	d__Bacteria;p__"Acidobacteria";c__Acidobacteria_Gp3;g__Gp3;
OTU192	d__Bacteria;p__"Proteobacteria";c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas_sediminicola;
OTU193	d__Bacteria;p__Cyanobacteria/Chloroplast;c__Cyanobacteria
OTU194	d__Bacteria;p__"Acidobacteria";c__Acidobacteria_Gp4
OTU195	d__Bacteria;p__Cyanobacteria/Chloroplast;c__Cyanobacteria
OTU196	d__Bacteria;p__"Acidobacteria";c__Acidobacteria_Gp16
OTU197	d__Bacteria;p__"Gemmatimonadetes";c__Gemmatimonadetes
OTU198	d__Bacteria;p__candidate_division_WPS-1
OTU199	d__Bacteria;p__"Gemmatimonadetes";c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__Gemmatimonas_aurantiaca
OTU201	d__Bacteria;p__"Actinobacteria";c__Actinobacteria;o__Solirubrobacterales;f__Conexibacteraceae;g__Conexibacter;s__Conexibacter_arvalis
OTU202	d__Bacteria;p__"Acidobacteria"
OTU203	d__Bacteria;p__"Acidobacteria";c__Acidobacteria_Gp16
OTU204	d__Bacteria;p__Cyanobacteria/Chloroplast;c__Cyanobacteria
OTU205	d__Bacteria;p__"Proteobacteria";c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae
OTU206	d__Bacteria;p__"Bacteroidetes";c__Sphingobacteriia;o__"Sphingobacteriales";f__Chitinophagaceae;g__Flavisolibacter;s__Flavisolibacter_rigui
OTU207	d__Bacteria;p__"Bacteroidetes";c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Nibrella;s__Nibrella_saemangeumensis
OTU208	d__Bacteria;p__"Proteobacteria";c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae
OTU209	d__Bacteria;p__"Gemmatimonadetes";c__Gemmatimonadetes
OTU210	d__Bacteria;p__"Chloroflexi";c__Chloroflexia
