#OTU ID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
OTU1	2484	2860	1443	1766	881	1924	397	533	31	29	339	1733	3160	3272	0	0	29	45	2287	328	343	939	17	0	115	33	450	413	1684	992	2415	2805	229	505
OTU2	2262	2252	3159	2531	1680	1503	2178	1984	963	1137	1394	1260	2843	2029	507	681	376	159	3055	2660	3704	2942	3364	3138	810	409	788	752	2004	1271	1923	2296	1040	2190
OTU3	992	785	1741	1929	1262	783	1204	910	323	784	650	967	1184	1271	144	236	460	131	879	577	691	972	705	431	330	254	383	333	791	543	1290	893	392	940
OTU4	1031	1207	1098	1366	2139	1536	1416	1581	2217	3239	1129	1761	539	1002	552	444	2402	1297	1749	1329	1123	1255	1604	921	2959	2744	4720	5351	1751	2871	794	1245	1501	1740
OTU5	1534	865	1592	1742	1200	912	1491	1438	360	1236	917	1632	1549	1700	361	406	1259	261	1353	560	1046	1817	1237	657	1781	1050	1278	1335	2010	1549	1659	1744	901	1389
OTU6	1274	961	1464	1463	1393	1089	1558	1312	556	1067	925	1242	1439	1297	649	737	594	406	1019	647	855	1179	940	547	1820	1026	1610	1559	1483	1120	1533	1074	823	1431
OTU7	1645	1279	880	1074	864	895	1313	1644	1611	3125	1322	2864	887	1101	1019	929	3237	1739	1945	1173	1130	2442	1314	923	2711	2773	1677	2066	2298	3124	1427	1531	2198	1678
OTU8	825	866	306	376	581	610	789	949	1105	1371	943	1109	522	570	499	487	844	776	819	787	722	925	688	598	1532	1635	1227	1508	1058	1287	741	744	1148	1033
OTU9	392	318	149	184	187	174	334	477	504	815	487	683	279	241	541	567	1510	1078	598	482	406	619	610	657	951	1358	719	765	635	1088	339	426	621	432
OTU10	240	269	230	240	153	132	295	428	426	813	439	380	252	398	529	357	1300	1467	425	877	341	483	262	481	703	1452	855	226	930	640	326	299	558	408
OTU11	1281	919	1668	1407	1057	756	1508	1445	200	525	840	1012	2079	2029	186	213	512	170	1819	1301	2007	2504	2530	1681	740	380	348	328	1947	1236	1775	1426	825	1540
OTU12	1225	180	583	757	96	179	362	401	191	755	425	1824	652	719	149	97	1018	163	987	193	160	1117	609	139	1182	598	652	680	1465	1413	837	980	453	357
OTU13	1106	703	1074	1167	1027	886	742	710	97	385	426	786	561	768	211	175	656	203	553	283	350	613	514	230	1162	753	1314	1244	946	801	707	1034	509	672
OTU14	321	614	259	298	587	494	992	688	1437	721	756	570	216	265	607	572	172	430	675	1301	696	555	430	494	597	601	930	909	494	526	287	316	919	666
OTU15	547	907	384	418	784	1248	842	991	1774	723	1294	586	414	301	2415	2297	424	1277	521	1192	1050	638	994	1474	877	1127	804	858	574	700	402	516	1242	825
OTU16	1388	531	827	954	664	723	273	222	31	73	204	334	721	829	95	64	334	109	309	105	224	561	541	194	760	440	128	125	649	540	860	1195	153	255
OTU17	185	222	226	207	329	326	437	405	401	445	303	256	277	212	221	222	236	216	262	294	270	305	279	243	342	309	496	602	269	250	257	213	321	372
OTU18	332	597	238	224	661	771	329	595	407	167	416	195	118	123	275	333	102	220	187	454	367	177	317	530	191	287	257	315	173	194	153	330	353	484
OTU19	283	209	410	282	89	99	275	276	84	75	269	225	1039	877	180	220	93	51	472	347	230	169	447	342	185	87	75	69	283	174	772	301	180	237
OTU20	74	147	64	50	144	137	504	488	537	210	484	180	42	51	89	90	45	103	177	592	352	203	135	129	152	202	437	439	291	190	46	103	717	462
OTU21	559	794	672	732	1206	1087	711	710	132	167	364	277	777	914	556	617	606	572	389	407	507	416	604	585	396	361	397	362	408	395	837	619	368	582
OTU22	131	187	264	266	545	286	251	264	152	196	149	181	223	273	281	267	490	267	208	219	172	207	211	160	242	236	308	203	208	275	247	186	178	309
OTU23	32	76	11	24	19	36	180	107	1360	218	448	256	22	32	800	905	73	253	172	680	224	143	87	296	190	884	225	120	220	233	0	14	615	96
OTU24	616	674	679	801	996	1102	420	407	10	36	242	154	348	412	9	12	32	19	219	169	553	356	431	376	33	33	18	10	216	156	438	592	163	409
OTU26	132	96	61	51	69	61	161	232	45	82	140	297	81	154	164	135	261	152	225	146	133	286	173	91	271	232	41	80	292	285	154	103	210	195
OTU27	144	214	299	221	139	101	86	90	8	0	435	570	453	491	4	0	63	88	9	21	14	6	10	0	0	0	14	0	117	22	532	242	69	105
OTU28	190	164	250	253	205	224	264	246	187	186	208	138	191	200	266	324	157	259	204	161	241	235	304	192	198	173	174	200	191	167	262	152	204	223
OTU29	208	730	125	125	941	888	495	673	385	223	376	141	113	137	760	681	64	352	183	497	659	171	357	1252	185	218	247	371	149	164	99	252	607	696
OTU30	481	776	200	199	814	810	370	486	352	131	496	258	100	127	215	227	91	215	291	596	626	201	327	410	247	283	198	186	240	272	157	560	517	601
OTU31	286	530	166	263	302	421	251	504	397	307	335	288	120	115	490	437	109	224	313	620	335	186	200	393	384	592	387	394	352	503	211	315	468	496
OTU32	18	89	18	14	41	18	108	151	430	295	156	76	5	8	53	45	29	30	109	204	355	145	81	129	50	61	111	99	67	176	9	27	221	157
OTU33	119	87	99	110	116	80	111	157	39	73	57	129	91	95	26	28	84	37	140	92	87	149	182	72	212	178	75	88	157	147	104	115	96	184
OTU34	53	237	27	50	153	190	228	268	338	157	204	121	29	22	55	59	27	376	111	337	152	64	44	76	535	297	235	274	160	120	33	68	421	249
OTU35	78	87	80	74	73	98	173	176	128	94	95	39	98	53	146	116	48	230	147	187	230	156	374	477	147	171	207	184	118	82	59	59	72	162
OTU36	210	231	451	408	413	302	206	232	395	467	538	319	203	376	15	38	23	16	217	259	133	73	243	186	225	189	822	960	227	270	256	186	415	294
OTU37	54	106	299	176	153	54	408	215	126	89	228	116	226	230	363	352	16	19	111	193	119	56	67	74	57	29	198	77	146	110	250	73	237	232
OTU38	138	108	195	258	152	168	183	199	113	133	170	109	240	234	773	546	783	491	228	210	140	218	219	224	271	160	217	205	214	171	215	168	149	184
OTU39	107	72	144	147	86	74	211	120	84	239	108	180	245	319	117	116	107	63	245	124	114	194	541	205	128	102	182	195	305	171	234	115	137	169
OTU40	151	41	221	223	52	56	109	157	196	677	222	580	120	166	190	99	494	140	332	94	79	312	246	122	540	448	549	567	450	591	167	103	249	103
OTU41	144	159	66	45	39	90	36	77	0	0	202	1250	27	34	0	0	0	0	28	34	12	13	0	0	0	0	14	11	33	14	9	159	100	33
OTU42	126	113	275	311	53	80	262	225	14	10	77	63	243	241	20	35	23	8	143	146	196	192	304	226	14	12	4	8	162	102	256	211	55	226
OTU43	101	139	128	117	144	213	169	206	488	433	256	201	108	87	357	378	340	427	181	167	157	137	197	224	299	234	314	381	169	225	103	83	270	181
OTU44	47	0	43	43	34	0	61	76	130	97	1138	219	120	91	71	0	114	6156	238	637	89	356	135	34	91	119	119	43	819	315	63	51	341	82
OTU45	140	99	142	82	70	60	464	493	533	1294	536	861	123	180	306	345	1028	465	907	412	290	577	252	112	911	856	618	690	708	852	172	122	672	504
OTU46	104	164	142	167	187	239	245	313	91	41	229	39	135	119	434	295	41	233	125	182	297	130	292	446	191	234	138	198	157	142	102	127	141	267
OTU47	81	76	122	126	64	98	173	188	88	97	97	138	88	141	108	102	136	75	125	148	92	147	185	91	194	161	71	85	148	187	119	76	98	123
OTU49	13	85	13	11	36	69	175	127	47	29	179	26	37	34	137	189	7	62	66	296	104	36	76	116	38	42	51	27	78	40	27	41	147	100
OTU50	104	112	114	101	155	186	181	164	58	12	104	43	118	121	224	196	41	83	108	161	256	147	401	509	189	170	103	126	65	59	83	110	82	150
OTU51	161	254	147	114	266	318	244	190	160	114	172	99	184	228	273	217	154	213	126	169	218	164	244	253	136	104	107	114	121	157	241	208	210	219
OTU52	88	78	91	83	46	45	61	121	150	232	97	141	56	77	66	33	225	83	149	77	44	126	71	44	126	165	97	118	178	139	85	117	123	91
OTU53	267	218	85	106	123	184	73	9	0	0	9	4	211	152	4	0	0	4	0	0	0	0	3	0	0	0	0	0	0	6	162	474	0	13
OTU54	85	126	56	59	87	112	120	127	195	148	224	162	64	49	523	565	218	316	96	126	99	103	101	152	328	383	152	146	182	207	76	78	180	120
OTU55	18	60	6	11	67	24	198	90	362	121	249	42	5	46	188	246	21	45	58	247	106	26	46	97	84	86	275	195	67	46	22	34	151	96
OTU56	44	59	85	93	54	47	133	97	19	56	109	100	59	63	0	5	18	21	66	58	38	40	27	23	57	42	91	78	91	54	69	49	86	133
OTU57	181	122	56	61	89	116	67	88	58	39	75	72	150	99	84	54	73	79	49	62	61	60	63	103	149	168	51	34	102	133	151	132	86	87
OTU58	144	129	152	176	134	123	206	245	144	145	267	242	113	109	173	139	122	166	158	150	130	263	190	173	404	258	207	181	259	248	160	142	274	177
OTU59	257	200	18	35	132	81	3	2	0	0	4	12	159	113	2	0	0	0	2	0	0	4	6	0	0	0	0	2	0	2	200	376	12	7
OTU60	128	348	75	78	474	472	128	97	6	7	16	18	42	46	0	0	9	14	34	19	113	45	19	15	3	12	0	11	26	34	47	90	25	108
OTU62	125	156	173	181	170	139	275	236	68	56	197	103	150	166	162	189	39	37	170	193	285	182	71	51	71	54	61	66	141	114	138	149	143	319
